 Sr. No , Province , NA , District , Total Candidates , Polling Stations , Wining Party , Elected MNA , Total Male Voters , Total Female Voters , Total Voters , Total Casted Male Voters , Total Casted Female Voters , Total Casted Votes , Correct Votes , Incorect Votes , Total Turnout % , Male Turnout % , Female Turnout % , IND  , IND-win , IND-PTI , PML(N) , PPPP , MQM  , JUI(P) , ANP , JIP , TLP , PML , IPP , MWMP , BNP , PML(Z) , PNAPF , BAP , PMML , PMAP , NP , GDA , PTI(P) , RJUI , PRHP , QWP , MOTP , PNP , AWP , JUIP(S) , TIPM , HQMP , PAT , PIRP , JUI(N) , NDM , TDP , PFM , PTSP , ATP , MATP , PDQM , TJP , PAAP , BPP , SKQM , PTE , GDP , AATP , PMLKQK , PWP , PAL , PAQ , PFP , TTK , PTSB , TLI , AJPP , AMLP , TTP , PT-Insaniat , APP , JUP(IN) , PTI(N) , ALPP , SIC , KIAP , PPP(BS) , TAP , JWP , IJIP , PL , PMP(N) , HKP , NPC , MJAHP , KI , PML(O) , APMM , SDP , TTNP , PPAP(A) , JUI(NP) , PKI(CA) , PSDP , PAAM , Aman.TP , PSP , PMA , KS , AL , PCP , MQMP , ALI , PML-C , PMLSAF , BNP(A) , JQM , HDTB , HDP , AHDP 
 21 , KPK , NA-22 , Mardan-II , 17 , 387 , IND-PTI , M Atif ," 302,495 "," 255,730 "," 558,225 "," 145,935 "," 75,154 "," 221,089 "," 214,974 "," 6,115 ", 40 , 48 , 29 ," 3,424 ", -   ," 115,801 ", -   ," 2,970 ", -   ," 24,272 "," 66,674 ", -   ," 1,292 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 166 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 124 , 148 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 22 , KPK , NA-23 , Mardan-III , 11 , 317 , IND-PTI , Ali Muhammad ," 253,199 "," 204,915 "," 458,114 "," 128,210 "," 74,888 "," 203,098 "," 198,031 "," 5,067 ", 44 , 51 , 37 ," 1,823 ", -   ," 102,175 "," 10,101 "," 6,805 ", -   ," 32,655 "," 33,910 "," 9,424 ", -   , -   , -   , -   , -   , -   , -   , -   , 639 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 340 , 159 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 23 , KPK , NA-24 , Charsada-I , 9 , 354 , IND-PTI , Anwar Taj ," 280,438 "," 223,832 "," 504,270 "," 135,216 "," 63,387 "," 198,603 "," 193,308 "," 5,295 ", 39 , 48 , 28 ," 2,322 ", -   ," 89,801 ", 460 ," 2,403 ", -   ," 48,545 "," 8,852 "," 6,510 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 34,415 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 24 , KPK , NA-25 , Charsada-II , 13 , 392 , IND-PTI , Fazal Muhammad Khan ," 305,911 "," 256,487 "," 562,398 "," 150,799 "," 73,730 "," 224,529 "," 219,077 "," 5,452 ", 40 , 49 , 29 ," 3,637 ", -   ," 100,713 ", -   ," 2,113 ", -   ," 32,871 "," 67,876 "," 8,479 "," 1,134 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 533 , 960 , -   , 761 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 25 , KPK , NA-26 , Mehmand , 12 , 194 , IND-PTI , Sajid Khan S/O Sultan ," 206,785 "," 152,260 "," 359,045 "," 71,800 "," 26,097 "," 97,897 "," 93,757 "," 4,140 ", 27 , 35 , 17 ," 18,914 ", -   ," 41,489 "," 1,972 "," 1,564 ", -   ," 19,930 "," 7,797 "," 1,899 ", -   , -   , -   , -   , -   , -   , -   , -   , 192 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 26 , KPK , NA-27 , Khaybar , 14 , 342 , IND-PTI , M Iqbal Khan ," 347,686 "," 288,663 "," 636,349 "," 108,661 "," 30,910 "," 139,571 "," 135,401 "," 4,170 ", 22 , 31 , 11 ," 3,263 ", -   ," 85,514 "," 18,832 "," 1,188 ", -   ," 14,950 "," 1,475 "," 7,860 ", 828 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,491 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 27 , KPK , NA-28 , Pashwar-I , 13 , 265 , JUI(P) , Noor Alam Khan ," 219,835 "," 176,210 "," 396,045 "," 158,130 "," 87,672 "," 245,802 "," 241,123 "," 4,679 ", 62 , 72 , 50 ," 7,541 ", -   ," 65,119 ", -   ," 14,830 ", -   ," 138,389 "," 3,644 "," 8,930 "," 1,676 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 350 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 170 , 474 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 28 , KPK , NA-29 , Pashwar-II , 14 , 201 , IND-PTI , Arbab Amir Ayub ," 176,312 "," 142,462 "," 318,774 "," 87,489 "," 39,118 "," 126,607 "," 122,708 "," 3,899 ", 40 , 50 , 27 ," 4,264 ", -   ," 68,792 "," 2,373 "," 4,674 ", -   ," 10,499 "," 18,888 "," 5,001 "," 7,481 ", 419 , -   , -   , -   , -   , -   , -   , 317 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 29 , KPK , NA-30 , Pashwar-III , 15 , 267 , IND-PTI , Shandana Gulzar ," 225,785 "," 178,837 "," 404,622 "," 99,658 "," 37,104 "," 136,762 "," 131,994 "," 4,768 ", 34 , 44 , 21 ," 3,214 ", -   ," 78,971 "," 3,508 "," 4,555 ", -   ," 20,950 "," 11,854 "," 5,355 "," 3,278 ", -   , -   , -   , -   , -   , -   , -   , 107 , -   , -   , -   , 202 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 30 , KPK , NA-31 , Pashwar-IV , 21 , 246 , IND-PTI , Sher Ali Arbab ," 218,059 "," 181,219 "," 399,278 "," 100,504 "," 45,688 "," 146,192 "," 143,078 "," 3,114 ", 37 , 46 , 25 ," 2,108 ", -   ," 82,985 "," 3,287 "," 22,543 ", -   ," 14,560 "," 10,101 "," 5,094 ", -   , -   , -   , -   , -   , -   , -   , -   , 688 , -   , -   , -   , 710 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 691 , -   , -   , -   , 219 , -   , 92 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 31 , KPK , NA-32 , Pashwar-V , 25 , 301 , IND-PTI , Asif Khan ," 325,420 "," 263,553 "," 588,973 "," 156,118 "," 69,927 "," 226,045 "," 220,490 "," 5,555 ", 38 , 48 , 27 ," 9,066 ", -   ," 122,792 "," 4,814 "," 10,520 ", -   ," 17,665 "," 45,846 "," 5,807 "," 1,774 ", -   , -   , -   , -   , -   , -   , -   ," 1,765 ", -   , -   , -   , 324 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 117 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 32 , KPK , NA-33 , Noshawra-I , 12 , 319 , IND-PTI , Syed Shah Ahad Ali shah ," 238,365 "," 205,977 "," 444,342 "," 126,700 "," 75,839 "," 202,539 "," 196,833 "," 5,706 ", 46 , 53 , 37 ," 5,699 ", -   ," 93,429 "," 21,361 "," 2,516 ", -   ," 19,986 "," 24,561 "," 2,707 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 26,574 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 33 , KPK , NA-34 , Noshawra-II , 18 , 309 , IND-PTI , Zulfiqar Ali ," 243,820 "," 208,925 "," 452,745 "," 131,815 "," 81,539 "," 213,354 "," 208,095 "," 5,259 ", 47 , 54 , 39 ," 8,581 ", -   ," 95,692 "," 4,068 "," 4,157 ", -   ," 26,055 "," 22,472 "," 4,475 "," 8,460 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 32,698 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,256 ", 181 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 34 , KPK , NA-35 , Kohat , 17 , 491 , IND-PTI , Shahriyar Afridi ," 361,031 "," 305,208 "," 666,239 "," 155,415 "," 92,378 "," 247,793 "," 242,064 "," 5,729 ", 37 , 43 , 30 ," 6,322 ", -   ," 128,491 "," 57,184 ", -   , -   ," 44,278 "," 1,175 ", -   ," 1,105 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 564 , -   ," 2,945 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 35 , KPK , NA-36 , Hango-Orkazai , 19 , 386 , IND-PTI , Yousif Khan ," 308,316 "," 247,744 "," 556,060 "," 94,704 "," 42,220 "," 136,924 "," 133,184 "," 3,740 ", 25 , 31 , 17 ," 23,619 ", -   ," 73,076 ", 107 ," 1,318 ", -   ," 34,324 ", -   , 660 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 80 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 36 , KPK , NA-37 , Kurram , 34 , 289 , MWMP , Hameed Hussain ," 227,910 "," 187,627 "," 415,537 "," 91,849 "," 64,667 "," 156,516 "," 153,220 "," 3,296 ", 38 , 40 , 34 ," 29,318 ", -   ," 10,868 ", -   ," 54,384 ", -   , -   , -   , -   , -   , -   , -   ," 58,650 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 37 , KPK , NA-38 , Karak , 31 , 374 , IND-PTI , Shahid Ahmad ," 258,285 "," 228,469 "," 486,754 "," 125,278 "," 93,380 "," 218,658 "," 214,177 "," 4,481 ", 45 , 49 , 41 ," 33,617 ", -   ," 117,887 "," 5,817 ", -   , -   ," 40,761 "," 15,948 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 147 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 38 , KPK , NA-39 , Bannu , 19 , 524 , IND-PTI , Naseem Ali Shah ," 392,105 "," 331,354 "," 723,459 "," 192,992 "," 92,275 "," 285,267 "," 277,991 "," 7,276 ", 39 , 49 , 28 ," 9,839 ", -   ," 147,087 "," 1,011 "," 1,489 ", -   ," 110,675 ", -   ," 4,999 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,788 ", 103 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 39 , KPK , NA-40 , North Waziristan , 15 , 263 , JUI(P) , Misbah u Din ," 249,291 "," 181,193 "," 430,484 "," 95,778 "," 47,520 "," 143,298 "," 141,461 "," 1,837 ", 33 , 38 , 26 ," 5,455 ", -   ," 33,852 "," 8,925 ", -   , -   ," 42,994 ", 434 ," 1,590 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 32,768 ", -   , -   , -   , -   ," 15,443 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 40 , KPK , NA-41 , Lakki Marwat , 39 , 409 , IND-PTI , Sher Afzal Khan ," 277,583 "," 239,162 "," 516,745 "," 146,057 "," 103,000 "," 249,057 "," 241,969 "," 7,088 ", 48 , 53 , 43 ," 52,035 ", -   ," 117,988 ", 53 , -   , -   ," 68,303 "," 2,086 ", -   ," 1,499 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 41 , KPK , NA-42 , South Waziristan , 29 , 276 , IND-PTI , Zubair Khan ," 276,426 "," 190,866 "," 467,292 "," 58,742 "," 17,588 "," 76,330 "," 73,598 "," 2,732 ", 16 , 21 , 9 ," 52,446 ", -   ," 20,022 ", -   , 384 , -   , -   , 593 , 153 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 42 , KPK , NA-43 , Tank/ Dera Ismail Khan , 22 , 348 , IND-PTI , Dawar Khan ," 214,789 "," 177,425 "," 392,214 "," 104,867 "," 65,029 "," 169,896 "," 164,839 "," 5,057 ", 43 , 49 , 37 ," 11,115 ", -   ," 63,556 ", 187 ," 5,707 ", -   ," 62,730 ", 150 ," 1,415 "," 19,979 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 43 , KPK , NA-44 , Dera Ismail Khan-I  , 20 , 358 , IND-PTI , Ali Ameen Khan ," 208,481 "," 183,401 "," 391,882 "," 129,791 "," 87,745 "," 217,536 "," 210,736 "," 6,800 ", 56 , 62 , 48 ," 6,826 ", -   ," 93,443 ", -   ," 35,567 ", -   ," 59,922 ", 243 ," 1,185 "," 9,357 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,193 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 44 , KPK , NA-45 , Dera Ismail Khan-II , 12 , 307 , PPPP , Fateh Ullah Khan ," 174,261 "," 146,212 "," 320,473 "," 103,320 "," 56,847 "," 160,167 "," 152,117 "," 8,050 ", 50 , 59 , 39 ," 18,482 ", -   ," 23,106 ", -   ," 56,933 ", -   ," 48,343 "," 3,445 "," 1,808 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 45 , ICT , NA-46 , ICT-I , 43 , 342 , PML(N) , Anjum Aqeel Khan ," 183,925 "," 166,656 "," 350,581 "," 99,724 "," 49,862 "," 149,586 "," 148,783 ", 803 , 43 , 54 , 30 ," 2,458 ", -   ," 44,317 "," 81,958 "," 7,987 ", 38 ," 1,828 ", 61 ," 1,979 "," 5,596 ", -   , -   , -   , -   , -   , -   , -   ," 1,071 ", 19 , -   , -   , -   , -   ," 1,122 ", -   , -   , -   , -   , -   , -   , -   , 66 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 83 , 130 , 46 , 24 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 46 , ICT , NA-47 , ICT-II , 34 , 387 , PML(N) , Tariq Fazal Ch ," 227,175 "," 206,025 "," 433,200 "," 142,995 "," 109,921 "," 252,916 "," 251,867 "," 1,049 ", 58 , 63 , 53 ," 26,246 ", -   ," 86,794 "," 101,397 "," 15,127 ", 232 , -   , 112 ," 7,937 "," 11,034 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,973 ", -   , -   , 120 , 715 , 180 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 47 , ICT , NA-48 , ICT-III , 36 , 261 , IND , Raja Khurram Shahzad ," 157,305 "," 141,942 "," 299,247 "," 100,264 "," 82,589 "," 182,853 "," 181,642 "," 1,211 ", 61 , 64 , 58 ," 22,948 "," 69,699 "," 59,851 ", -   ," 2,994 ", -   , 802 , -   ," 8,477 "," 13,200 ", -   , -   , -   , -   , -   , -   , -   , 45 , -   , -   , -   , -   , -   , 110 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 75 , -   , -   , -   , -   , -   ," 3,209 ", 78 , 28 , 126 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 48 , Punjab , NA-49 , Attock-I , 12 , 461 , PML(N) , Sheikh Aftab Ahmad ," 334,246 "," 306,643 "," 640,889 "," 171,468 "," 151,174 "," 322,642 "," 317,451 "," 5,191 ", 50 , 51 , 49 ," 21,627 ", -   ," 110,230 "," 119,727 "," 7,119 ", -   , -   ," 15,547 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 951 ," 36,413 ", -   , -   , -   , -   ," 4,119 ", -   , -   , -   , -   , -   , -   , -   ," 1,718 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 49 , Punjab , NA-50 , Attock-I , 20 , 556 , PML(N) , Malik Sohail Khan ," 357,065 "," 351,066 "," 708,131 "," 141,950 "," 283,902 "," 425,852 "," 415,913 "," 9,939 ", 60 , 40 , 81 ," 17,976 ", -   ," 109,189 "," 119,075 "," 64,160 ", 477 , 877 , -   ," 7,185 "," 91,709 ", -   , -   , -   , -   , -   , -   , -   , 745 , -   , -   , -   , -   , -   ," 4,014 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 506 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
